State,E.V.,NYT,538,HuffPost,PW,PEC,DK,Cook,Roth.1,Sabato,,
D.C.,3,>99% Dem.,>99% Dem.,>99% Dem.,>99% Dem.,>99% Dem.,>99% Dem.,Solid Dem.,Solid Dem.,Solid Dem.,,268 electoral votesFrom 23 likely Democratic states
Hawaii,4,>99% Dem.,99% Dem.,>99% Dem.,>99% Dem.,>99% Dem.,>99% Dem.,Solid Dem.,Solid Dem.,Solid Dem.,,
Vermont,3,>99% Dem.,98% Dem.,>99% Dem.,>99% Dem.,>99% Dem.,>99% Dem.,Solid Dem.,Solid Dem.,Solid Dem.,,
Rhode Island,4,>99% Dem.,92% Dem.,>99% Dem.,>99% Dem.,>99% Dem.,>99% Dem.,Solid Dem.,Solid Dem.,Solid Dem.,,
Massachusetts,11,>99% Dem.,>99% Dem.,>99% Dem.,>99% Dem.,>99% Dem.,>99% Dem.,Solid Dem.,Solid Dem.,Solid Dem.,,
California,55,>99% Dem.,>99% Dem.,>99% Dem.,>99% Dem.,>99% Dem.,>99% Dem.,Solid Dem.,Solid Dem.,Solid Dem.,,
Maryland,10,99% Dem.,>99% Dem.,>99% Dem.,>99% Dem.,>99% Dem.,>99% Dem.,Solid Dem.,Solid Dem.,Solid Dem.,,
Maine (CD 1)*,1,99% Dem.,90% Dem.,>99% Dem.,98% Dem.,>99% Dem.,N.A.,Solid Dem.,Solid Dem.,Solid Dem.,,
New Jersey,14,99% Dem.,97% Dem.,>99% Dem.,>99% Dem.,>99% Dem.,>99% Dem.,Solid Dem.,Solid Dem.,Solid Dem.,,
Connecticut,7,99% Dem.,96% Dem.,>99% Dem.,>99% Dem.,>99% Dem.,>99% Dem.,Solid Dem.,Solid Dem.,Solid Dem.,,
Illinois,20,99% Dem.,98% Dem.,>99% Dem.,>99% Dem.,>99% Dem.,>99% Dem.,Solid Dem.,Solid Dem.,Solid Dem.,,
Washington,12,99% Dem.,97% Dem.,>99% Dem.,>99% Dem.,>99% Dem.,>99% Dem.,Solid Dem.,Solid Dem.,Solid Dem.,,
Delaware,3,99% Dem.,88% Dem.,>99% Dem.,>99% Dem.,>99% Dem.,>99% Dem.,Solid Dem.,Solid Dem.,Solid Dem.,,
New York,29,99% Dem.,>99% Dem.,>99% Dem.,>99% Dem.,>99% Dem.,>99% Dem.,Solid Dem.,Solid Dem.,Solid Dem.,,
Oregon,7,97% Dem.,93% Dem.,>99% Dem.,>99% Dem.,>99% Dem.,>99% Dem.,Solid Dem.,Solid Dem.,Solid Dem.,,
Virginia,13,95% Dem.,83% Dem.,>99% Dem.,97% Dem.,98% Dem.,>99% Dem.,Likely Dem.,Likely Dem.,Likely Dem.,,
New Mexico,5,94% Dem.,80% Dem.,>99% Dem.,98% Dem.,91% Dem.,>99% Dem.,Likely Dem.,Solid Dem.,Likely Dem.,,
Wisconsin,10,93% Dem.,82% Dem.,99% Dem.,98% Dem.,99% Dem.,>99% Dem.,Lean Dem.,Lean Dem.,Likely Dem.,,
Minnesota,10,93% Dem.,84% Dem.,>99% Dem.,99% Dem.,95% Dem.,>99% Dem.,Likely Dem.,Likely Dem.,Likely Dem.,,
Michigan,16,92% Dem.,79% Dem.,99% Dem.,95% Dem.,91% Dem.,>99% Dem.,Lean Dem.,Lean Dem.,Lean Dem.,,
Maine,2,90% Dem.,79% Dem.,>99% Dem.,98% Dem.,>99% Dem.,>99% Dem.,Likely Dem.,Likely Dem.,Likely Dem.,,
Pennsylvania,20,89% Dem.,77% Dem.,>99% Dem.,93% Dem.,91% Dem.,>99% Dem.,Lean Dem.,Lean Dem.,Lean Dem.,,
Colorado,9,88% Dem.,75% Dem.,>99% Dem.,94% Dem.,95% Dem.,99% Dem.,Lean Dem.,Likely Dem.,Likely Dem.,,
New Hampshire,4,76% Dem.,66% Dem.,91% Dem.,88% Dem.,79% Dem.,96% Dem.,Lean Dem.,Lean Dem.,Lean Dem.,,119 electoral votesFrom 12 competitive states
Nevada,6,70% Dem.,53% Dem.,83% Dem.,95% Dem.,74% Dem.,56% Dem.,Lean Dem.,Lean Dem.,Lean Dem.,,
Florida,29,66% Dem.,52% Dem.,89% Dem.,77% Dem.,74% Dem.,75% Dem.,Tossup,Lean Dem.,Lean Dem.,,
North Carolina,15,66% Dem.,52% Dem.,88% Dem.,60% Dem.,57% Rep.,59% Dem.,Tossup,Lean Dem.,Lean Dem.,,
Ohio,18,55% Rep.,65% Rep.,63% Rep.,69% Rep.,63% Rep.,85% Rep.,Lean Rep.,Tossup,Lean Rep.,,
Maine (CD 2)*,1,62% Rep.,52% Rep.,50% Dem.,53% Rep.,71% Dem.,N.A.,Tossup,Tossup,Lean Rep.,,
Iowa,6,62% Rep.,72% Rep.,86% Rep.,84% Rep.,74% Rep.,97% Rep.,Lean Rep.,Tossup,Lean Rep.,,
Utah,6,77% Rep.,84% Rep.,>99% Rep.,86% Rep.,>99% Rep.,>99% Rep.,Lean Rep.,Lean Rep.,Lean Rep.,,
