State,E.V.,NYT,538,HuffPost,PW,PEC,DK,Cook,Roth.1,Sabato,,
D.C.,3,>99% Dem.,>99% Dem.,>99% Dem.,>99% Dem.,>99% Dem.,>99% Dem.,Solid Dem.,Solid Dem.,Solid Dem.,,272 electoral votesFrom 24 likely Democratic states
Hawaii,4,>99% Dem.,98% Dem.,>99% Dem.,>99% Dem.,>99% Dem.,>99% Dem.,Solid Dem.,Solid Dem.,Solid Dem.,,
Vermont,3,>99% Dem.,98% Dem.,>99% Dem.,>99% Dem.,>99% Dem.,>99% Dem.,Solid Dem.,Solid Dem.,Solid Dem.,,
New York,29,>99% Dem.,>99% Dem.,>99% Dem.,>99% Dem.,>99% Dem.,>99% Dem.,Solid Dem.,Solid Dem.,Solid Dem.,,
Rhode Island,4,>99% Dem.,92% Dem.,>99% Dem.,>99% Dem.,>99% Dem.,>99% Dem.,Solid Dem.,Solid Dem.,Solid Dem.,,
California,55,>99% Dem.,>99% Dem.,>99% Dem.,>99% Dem.,>99% Dem.,>99% Dem.,Solid Dem.,Solid Dem.,Solid Dem.,,
Delaware,3,>99% Dem.,89% Dem.,>99% Dem.,>99% Dem.,>99% Dem.,>99% Dem.,Solid Dem.,Solid Dem.,Solid Dem.,,
Maine (CD 1)*,1,>99% Dem.,90% Dem.,>99% Dem.,98% Dem.,>99% Dem.,N.A.,Solid Dem.,Solid Dem.,Solid Dem.,,
Illinois,20,>99% Dem.,98% Dem.,>99% Dem.,>99% Dem.,>99% Dem.,>99% Dem.,Solid Dem.,Solid Dem.,Solid Dem.,,
Maryland,10,>99% Dem.,>99% Dem.,>99% Dem.,>99% Dem.,>99% Dem.,>99% Dem.,Solid Dem.,Solid Dem.,Solid Dem.,,
New Jersey,14,99% Dem.,97% Dem.,>99% Dem.,>99% Dem.,>99% Dem.,>99% Dem.,Solid Dem.,Solid Dem.,Solid Dem.,,
Washington,12,99% Dem.,97% Dem.,>99% Dem.,>99% Dem.,>99% Dem.,>99% Dem.,Solid Dem.,Solid Dem.,Solid Dem.,,
Connecticut,7,99% Dem.,95% Dem.,>99% Dem.,>99% Dem.,>99% Dem.,>99% Dem.,Solid Dem.,Solid Dem.,Solid Dem.,,
Massachusetts,11,99% Dem.,>99% Dem.,>99% Dem.,>99% Dem.,>99% Dem.,>99% Dem.,Solid Dem.,Solid Dem.,Solid Dem.,,
Oregon,7,98% Dem.,91% Dem.,>99% Dem.,>99% Dem.,99% Dem.,>99% Dem.,Solid Dem.,Solid Dem.,Solid Dem.,,
Virginia,13,97% Dem.,82% Dem.,>99% Dem.,97% Dem.,97% Dem.,>99% Dem.,Likely Dem.,Likely Dem.,Likely Dem.,,
New Mexico,5,94% Dem.,85% Dem.,>99% Dem.,98% Dem.,>99% Dem.,99% Dem.,Solid Dem.,Solid Dem.,Likely Dem.,,
Pennsylvania,20,93% Dem.,78% Dem.,>99% Dem.,92% Dem.,93% Dem.,98% Dem.,Lean Dem.,Lean Dem.,Likely Dem.,,
Wisconsin,10,93% Dem.,79% Dem.,98% Dem.,96% Dem.,95% Dem.,99% Dem.,Lean Dem.,Lean Dem.,Likely Dem.,,
Minnesota,10,92% Dem.,82% Dem.,>99% Dem.,99% Dem.,99% Dem.,99% Dem.,Likely Dem.,Likely Dem.,Likely Dem.,,
Maine,2,91% Dem.,79% Dem.,>99% Dem.,98% Dem.,>99% Dem.,>99% Dem.,Likely Dem.,Likely Dem.,Likely Dem.,,
Michigan,16,91% Dem.,78% Dem.,98% Dem.,97% Dem.,93% Dem.,>99% Dem.,Likely Dem.,Likely Dem.,Likely Dem.,,
New Hampshire,4,90% Dem.,71% Dem.,99% Dem.,91% Dem.,90% Dem.,98% Dem.,Lean Dem.,Lean Dem.,Likely Dem.,,
Colorado,9,86% Dem.,73% Dem.,>99% Dem.,89% Dem.,84% Dem.,96% Dem.,Likely Dem.,Likely Dem.,Likely Dem.,,
North Carolina,15,77% Dem.,50% Dem.,89% Dem.,63% Dem.,84% Dem.,82% Dem.,Lean Dem.,Lean Dem.,Lean Dem.,,118 electoral votesFrom 11 competitive states
Nevada,6,68% Dem.,51% Dem.,70% Dem.,76% Dem.,50% Dem.,72% Dem.,Lean Dem.,Lean Dem.,Lean Dem.,,
Florida,29,67% Dem.,51% Rep.,97% Dem.,56% Dem.,74% Dem.,81% Dem.,Tossup,Lean Dem.,Tossup,,
Ohio,18,56% Rep.,66% Rep.,56% Dem.,70% Rep.,84% Rep.,64% Rep.,Tossup,Tossup,Lean Rep.,,
Iowa,6,57% Rep.,67% Rep.,63% Rep.,76% Rep.,50% Dem.,78% Rep.,Lean Rep.,Tossup,Lean Rep.,,
Maine (CD 2)*,1,61% Rep.,52% Rep.,50% Dem.,61% Rep.,91% Dem.,N.A.,Tossup,Tossup,Tossup,,
Nebraska (CD 2)*,1,61% Rep.,64% Rep.,50% Dem.,71% Rep.,96% Rep.,N.A.,Tossup,Tossup,Tossup,,
Utah,6,66% Rep.,77% Rep.,>99% Rep.,77% Rep.,>99% Rep.,>99% Rep.,Lean Rep.,Lean Rep.,Lean Rep.,,
Arizona,11,67% Rep.,68% Rep.,77% Rep.,74% Rep.,74% Rep.,69% Rep.,Tossup,Lean Rep.,Lean Rep.,,
Georgia,16,72% Rep.,85% Rep.,81% Rep.,91% Rep.,95% Rep.,83% Rep.,Lean Rep.,Lean Rep.,Lean Rep.,,
South Carolina,9,85% Rep.,88% Rep.,93% Rep.,98% Rep.,92% Rep.,99% Rep.,Likely Rep.,Solid Rep.,Likely Rep.,,
Mississippi,6,87% Rep.,98% Rep.,>99% Rep.,>99% Rep.,99% Rep.,>99% Rep.,Solid Rep.,Solid Rep.,Solid Rep.,,148 electoral votesFrom 21 likely Republican states
Missouri,10,88% Rep.,97% Rep.,>99% Rep.,99% Rep.,>99% Rep.,>99% Rep.,Likely Rep.,Likely Rep.,Likely Rep.,,
Texas,38,89% Rep.,94% Rep.,97% Rep.,98% Rep.,>99% Rep.,99% Rep.,Likely Rep.,Solid Rep.,Likely Rep.,,
Alaska,3,90% Rep.,74% Rep.,98% Rep.,93% Rep.,98% Rep.,>99% Rep.,Likely Rep.,Solid Rep.,Likely Rep.,,
Louisiana,8,97% Rep.,99% Rep.,>99% Rep.,99% Rep.,>99% Rep.,>99% Rep.,Solid Rep.,Solid Rep.,Solid Rep.,,
Indiana,11,98% Rep.,97% Rep.,>99% Rep.,97% Rep.,>99% Rep.,>99% Rep.,Likely Rep.,Lean Rep.,Likely Rep.,,
Tennessee,11,98% Rep.,98% Rep.,>99% Rep.,>99% Rep.,>99% Rep.,>99% Rep.,Solid Rep.,Solid Rep.,Solid Rep.,,
Idaho,4,99% Rep.,99% Rep.,>99% Rep.,>99% Rep.,>99% Rep.,>99% Rep.,Solid Rep.,Solid Rep.,Likely Rep.,,
Nebraska (CD 1)*,1,99% Rep.,92% Rep.,>99% Rep.,>99% Rep.,>99% Rep.,N.A.,Solid Rep.,Solid Rep.,Solid Rep.,,
Oklahoma,7,99% Rep.,>99% Rep.,>99% Rep.,>99% Rep.,>99% Rep.,>99% Rep.,Solid Rep.,Solid Rep.,Solid Rep.,,
Montana,3,99% Rep.,95% Rep.,>99% Rep.,93% Rep.,>99% Rep.,>99% Rep.,Solid Rep.,Solid Rep.,Solid Rep.,,
Kansas,6,99% Rep.,96% Rep.,>99% Rep.,99% Rep.,>99% Rep.,>99% Rep.,Solid Rep.,Solid Rep.,Solid Rep.,,
Arkansas,6,99% Rep.,>99% Rep.,>99% Rep.,>99% Rep.,>99% Rep.,>99% Rep.,Solid Rep.,Solid Rep.,Solid Rep.,,
West Virginia,5,>99% Rep.,>99% Rep.,>99% Rep.,>99% Rep.,>99% Rep.,>99% Rep.,Solid Rep.,Solid Rep.,Solid Rep.,,
Nebraska,2,>99% Rep.,98% Rep.,>99% Rep.,>99% Rep.,>99% Rep.,>99% Rep.,Solid Rep.,Likely Rep.,Solid Rep.,,
North Dakota,3,>99% Rep.,97% Rep.,>99% Rep.,99% Rep.,>99% Rep.,>99% Rep.,Solid Rep.,Solid Rep.,Solid Rep.,,
Alabama,9,>99% Rep.,>99% Rep.,>99% Rep.,>99% Rep.,>99% Rep.,>99% Rep.,Solid Rep.,Solid Rep.,Solid Rep.,,
South Dakota,3,>99% Rep.,95% Rep.,>99% Rep.,99% Rep.,>99% Rep.,>99% Rep.,Solid Rep.,Solid Rep.,Solid Rep.,,
Kentucky,8,>99% Rep.,>99% Rep.,>99% Rep.,>99% Rep.,>99% Rep.,>99% Rep.,Solid Rep.,Solid Rep.,Solid Rep.,,
Nebraska (CD 3)*,1,>99% Rep.,99% Rep.,>99% Rep.,>99% Rep.,>99% Rep.,N.A.,Solid Rep.,Solid Rep.,Solid Rep.,,
